New_ID,Team,M,W,L,T,N/R,PT,Total_points,wining_percent,wining_percent_prob
0,ENG,3,3,0,0,0,12,12,100.0,HIGH
1,NZ,3,2,1,0,0,8,12,66.67,HIGH
2,IND,3,1,2,0,0,4,12,33.33,LOW
3,E&CA,3,0,3,0,0,0,12,0.0,LOW
4,WI,3,3,0,0,0,12,12,100.0,HIGH
5,AUS,3,2,1,0,0,8,12,66.67,HIGH
6,PAK,3,1,2,0,0,4,12,33.33,LOW
7,SL,3,0,3,0,0,0,12,0.0,LOW
8,ENG,3,3,0,0,0,12,12,100.0,HIGH
9,PAK,3,2,1,0,0,8,12,66.67,HIGH
10,AUS,3,1,2,0,0,4,12,33.33,LOW
11,CAN,3,0,3,0,0,0,12,0.0,LOW
12,WI,3,2,0,0,1,10,12,83.33,HIGH
13,NZ,3,2,1,0,0,8,12,66.67,HIGH
14,SL,3,1,1,0,1,6,12,50.0,MIGHT
15,IND,3,0,3,0,0,0,12,0.0,LOW
16,ENG,6,5,1,0,0,20,24,83.33,HIGH
17,PAK,6,3,3,0,0,12,24,50.0,MIGHT
18,NZ,6,3,3,0,0,12,24,50.0,MIGHT
19,SL,6,1,5,0,0,4,24,16.67,LOW
20,WI,6,5,1,0,0,20,24,83.33,HIGH
21,IND,6,4,2,0,0,16,24,66.67,HIGH
22,AUS,6,2,4,0,0,8,24,33.33,LOW
23,ZIM,6,1,5,0,0,4,24,16.67,LOW
